,Name,Speed,Team
0,M. Gyamfi,36.58,VfL Osnabrück
1,Christian Conteh,36.23,VfL Osnabrück
2,M. Winkler,36.17,Hertha BSC
3,Marvin Rittmüller,36.13,Eintracht Braunschweig
4,Sirlord Conteh,36.13,SC Paderborn 07
5,Aaron Opoku,36.02,1. FC Kaiserslautern
6,N. Niemann,36.02,VfL Osnabrück
7,Kenny Prince Redondo,35.97,1. FC Kaiserslautern
8,B. Lasme,35.97,FC Schalke 04
9,D. Jastrzembski,35.93,Fortuna Düsseldorf
10,Anton Donkor,35.87,Eintracht Braunschweig
11,Nils Fröling,35.83,F.C. Hansa Rostock
12,Phil Neumann,35.80,Hannover 96
13,N. Tresoldi,35.80,Hannover 96
14,T. Puchacz,35.65,1. FC Kaiserslautern
15,C. Makridis,35.64,VfL Osnabrück
16,Bright Arrey-Mbi,35.61,Hannover 96
17,Yusuf Kabadayı,35.53,FC Schalke 04
18,R. Philippe,35.51,Eintracht Braunschweig
19,N. Brown,35.50,1. FC Nürnberg
20,J. Niemiec,35.49,Fortuna Düsseldorf
21,R. Tachie,35.35,1. FC Kaiserslautern
22,Ahmet Gürleyen,35.30,1. FC Nürnberg
23,A. Ćatić,35.30,SV Wehen Wiesbaden
24,Sebastian Andersson,35.27,1. FC Nürnberg
25,J. Rochelt,35.21,SV Elversberg
26,D. Murkin,35.20,FC Schalke 04
27,T. Goppel,35.13,SV Wehen Wiesbaden
28,Brooklyn Ezeh,35.12,Hannover 96
29,M. Karbownik,35.11,Hertha BSC
30,Joseph Boyamba,35.08,SV Elversberg
31,Ragnar Ache,35.03,1. FC Kaiserslautern
32,J. Zimmer,34.96,1. FC Kaiserslautern
33,F. Stojilkovic,34.92,1. FC Kaiserslautern
34,T. Kalas,34.91,FC Schalke 04
35,O. Haddadi,34.90,SpVgg Greuther Fürth
36,S. Mockenhaupt,34.88,SV Wehen Wiesbaden
37,L. Günther,34.84,SV Wehen Wiesbaden
38,T. Becker,34.83,Holstein Kiel
39,L. Lobinger,34.82,1. FC Kaiserslautern
40,K. Okunuki,34.79,1. FC Nürnberg
41,A. Nollenberger,34.77,1. FC Magdeburg
42,B. Jatta,34.75,Hamburger SV
43,J. Elvedi,34.74,1. FC Kaiserslautern
44,J. Sterner,34.74,Holstein Kiel
45,Johan Gómez,34.71,Eintracht Braunschweig
46,Derry Scherhant,34.64,Hertha BSC
47,F. Reese,34.63,Hertha BSC
48,K. Pröger,34.59,F.C. Hansa Rostock
49,T. Mohr,34.58,FC Schalke 04
50,Marlon Mustapha,34.58,Fortuna Düsseldorf
51,Juan José Perea,34.51,F.C. Hansa Rostock
52,F. Klaus,34.49,Fortuna Düsseldorf
53,Finn Porath,34.48,Holstein Kiel
54,Levin Öztunali,34.47,Hamburger SV
55,Benedikt Pichler,34.47,Holstein Kiel
56,Jan Gyamerah,34.40,1. FC Nürnberg
57,K. Schumacher,34.40,F.C. Hansa Rostock
58,D. Zeefuik,34.40,Hertha BSC
59,Nicolas Oliveira,34.37,Hamburger SV
60,H. Rorig,34.37,VfL Osnabrück
61,Monju Momuluh,34.35,Hannover 96
62,D. Heber,34.33,1. FC Magdeburg
63,John Iredale,34.32,SV Wehen Wiesbaden
64,B. Goller,34.31,1. FC Nürnberg
65,F. Jäkel,34.28,SV Elversberg
66,J. Castrop,34.25,1. FC Nürnberg
67,S. Skrzybski,34.25,Holstein Kiel
68,S. Machino,34.24,Holstein Kiel
69,G. Jung,34.24,SpVgg Greuther Fürth
70,H. Bockhorn,34.23,1. FC Magdeburg
71,J. Siebert,34.22,Fortuna Düsseldorf
72,A. Dźwigała,34.22,FC St. Pauli
73,J. Dehm,34.21,Hannover 96
74,G. Fechner,34.21,SV Wehen Wiesbaden
75,S. Güler,34.20,F.C. Hansa Rostock
76,N. Wiemann,34.19,VfL Osnabrück
77,T. Lemperle,34.19,SpVgg Greuther Fürth
78,R. Königsdörffer,34.18,Hamburger SV
79,A. Sieb,34.16,SpVgg Greuther Fürth
80,B. Ajdini,34.15,VfL Osnabrück
81,M. Neubauer,34.08,SV Elversberg
82,S. Asta,34.07,SpVgg Greuther Fürth
83,Connor Metcalfe,34.05,FC St. Pauli
84,D. Gnaase,34.05,VfL Osnabrück
85,Luca Schuler,34.02,1. FC Magdeburg
86,B. Tomiak,34.01,1. FC Kaiserslautern
87,F. Schleusener,34.01,Karlsruher SC
88,A. Voglsammer,34.01,Hannover 96
89,K. Karaman,34.00,FC Schalke 04
90,L. Bell Bell,33.99,1. FC Magdeburg
91,D. Abiama,33.98,1. FC Kaiserslautern
92,Philipp Hercher,33.96,1. FC Kaiserslautern
93,Derrick Köhn,33.96,Hannover 96
94,W. Mikelbrencis,33.94,Hamburger SV
95,Christopher Scott,33.94,Hannover 96
96,L. Kunze,33.93,VfL Osnabrück
97,S. Griesbeck,33.93,Eintracht Braunschweig
98,H. Matriciani,33.92,FC Schalke 04
99,R. Obermair,33.92,SC Paderborn 07
100,P. Treu,33.91,FC St. Pauli
101,J. Heuer,33.91,SC Paderborn 07
102,A. Condé,33.90,1. FC Magdeburg
103,Florian Le Joncour,33.90,SV Elversberg
104,F. Kovačević,33.87,SV Wehen Wiesbaden
105,A. Sicker,33.87,SV Elversberg
106,K. Mets,33.86,FC St. Pauli
107,A. Grimaldi,33.85,SC Paderborn 07
108,D. Brosinski,33.83,Karlsruher SC
109,P. Nebel,33.82,Karlsruher SC
110,Marcus Mathisen,33.82,SV Wehen Wiesbaden
111,Svante Ingelsson,33.78,F.C. Hansa Rostock
112,M. Ivezić,33.78,Holstein Kiel
113,J. Hugonet,33.77,1. FC Magdeburg
114,I. Van der Brempt,33.74,Hamburger SV
115,L. Castaignos,33.74,1. FC Magdeburg
116,Lukas Petkov,33.74,SpVgg Greuther Fürth
117,E. Wekesser,33.71,1. FC Nürnberg
118,L. Curda,33.71,SC Paderborn 07
119,Oladapo Afolayan,33.69,FC St. Pauli
120,Janik Bachmann,33.68,F.C. Hansa Rostock
121,Robin Fellhauer,33.67,SV Elversberg
122,I. Maza,33.64,Hertha BSC
123,P. Sander,33.64,Holstein Kiel
124,Miro Muheim,33.63,Hamburger SV
125,H. Tabaković,33.63,Hertha BSC
126,Alexander Bernhardsson,33.63,Holstein Kiel
127,Jannes Horn,33.62,1. FC Nürnberg
128,K. Kostons,33.62,SC Paderborn 07
129,Immanuël Pherai,33.60,Hamburger SV
130,Gustav Christensen,33.60,Hertha BSC
131,Jean-Luc Dompé,33.59,Hamburger SV
132,F. Jeltsch,33.59,1. FC Nürnberg
133,L. Reis,33.58,Hamburger SV
134,O. Mhamdi,33.58,SpVgg Greuther Fürth
135,D. Burnić,33.57,Karlsruher SC
136,C. Teuchert,33.54,Hannover 96
137,Luca Itter,33.54,SpVgg Greuther Fürth
138,K. Wriedt,33.53,VfL Osnabrück
139,V. Musliu,33.52,SC Paderborn 07
140,T. Ouwejan,33.50,FC Schalke 04
141,F. Bilbija,33.50,SC Paderborn 07
142,F. Kaloc,33.48,1. FC Kaiserslautern
143,Fabio Kaufmann,33.45,Eintracht Braunschweig
144,R. Bormuth,33.43,Karlsruher SC
145,Fiete Arp,33.43,Holstein Kiel
146,D. Drexler,33.42,FC Schalke 04
147,L. Tempelmann,33.41,FC Schalke 04
148,F. Kunze,33.41,Hannover 96
149,B. Hrgota,33.40,SpVgg Greuther Fürth
150,Maximilian Dietz,33.40,SpVgg Greuther Fürth
151,I. Ansah,33.40,SC Paderborn 07
152,O. Diakhite,33.39,VfL Osnabrück
153,C. Tzolis,33.37,Fortuna Düsseldorf
154,B. Zivzivadze,33.36,Karlsruher SC
155,Håvard Nielsen,33.35,Hannover 96
156,H. Kurucay,33.34,Eintracht Braunschweig
157,J. Hofmann,33.29,1. FC Nürnberg
158,C. Piccini,33.29,1. FC Magdeburg
159,A. Bouchalakis,33.27,Hertha BSC
160,S. Vasiliadis,33.26,F.C. Hansa Rostock
161,Tom Rothe,33.25,Holstein Kiel
162,H. Lee,33.25,SV Wehen Wiesbaden
163,F. Muslija,33.25,SC Paderborn 07
164,M. Schulz,33.24,Holstein Kiel
165,F. Krüger,33.23,Eintracht Braunschweig
166,A. Hoti,33.23,1. FC Magdeburg
167,M. Kempf,33.22,Hertha BSC
168,P. Stock,33.22,SV Elversberg
169,J. Lang,33.21,F.C. Hansa Rostock
170,M. Hoffmeier,33.21,SC Paderborn 07
171,M. Hartel,33.19,FC St. Pauli
172,J. Kenny,33.19,Hertha BSC
173,Tim Handwerker,33.16,1. FC Nürnberg
174,D. Hadžikadunić,33.15,Hamburger SV
175,A. Androutsos,33.15,VfL Osnabrück
176,S. Muroya,33.11,Hannover 96
177,C. Kinsombi,33.10,F.C. Hansa Rostock
178,Kianz Froese,33.10,SV Wehen Wiesbaden
179,F. Ruschke,33.09,F.C. Hansa Rostock
180,J. Marx,33.09,Eintracht Braunschweig
181,N. Soldo,33.07,1. FC Kaiserslautern
182,M. Christiansen,33.07,Hannover 96
183,R. Ivanov,33.06,Eintracht Braunschweig
184,Luca Schnellbacher,33.05,SV Elversberg
185,Terrence Boyd,33.03,1. FC Kaiserslautern
186,Guilherme Ramos,33.03,Hamburger SV
187,Calvin Brackelmann,33.01,SC Paderborn 07
188,T. Helgason,33.00,Eintracht Braunschweig
189,N. Bätzner,33.00,SV Wehen Wiesbaden
190,K. Klefisch,33.00,SC Paderborn 07
191,E. Engelhardt,32.99,VfL Osnabrück
192,D. Herold,32.97,Karlsruher SC
193,E. Iyoha,32.95,Fortuna Düsseldorf
194,I. Prtajin,32.95,SV Wehen Wiesbaden
195,A. Nemeth,32.94,Hamburger SV
196,Sebastian Jung,32.94,Karlsruher SC
197,Maurice Multhaup,32.94,Eintracht Braunschweig
198,Eric Smith,32.93,FC St. Pauli
199,L. Ihorst,32.92,Eintracht Braunschweig
200,Palkó Dárdai,32.91,Hertha BSC
201,Júnior Brumado,32.90,F.C. Hansa Rostock
202,F. Lohkemper,32.89,1. FC Nürnberg
203,L. Schleimer,32.89,1. FC Nürnberg
204,S. Polter,32.89,FC Schalke 04
205,A. Tanaka,32.89,Fortuna Düsseldorf
206,Kimberly Ezekwem,32.87,SC Paderborn 07
207,Baris Atik,32.86,1. FC Magdeburg
208,I. Matanović,32.85,Karlsruher SC
209,Í. Jóhannesson,32.85,Fortuna Düsseldorf
210,C. Kobald,32.83,Karlsruher SC
211,D. Hayashi,32.82,1. FC Nürnberg
212,Lukas Pinckert,32.79,SV Elversberg
213,M. Halstenberg,32.78,Hannover 96
214,Martin Angha,32.78,SV Wehen Wiesbaden
215,J. Strauß,32.76,F.C. Hansa Rostock
216,A. Jonjić,32.76,SV Wehen Wiesbaden
217,T. Rossmann,32.75,Karlsruher SC
218,D. Dressel,32.75,F.C. Hansa Rostock
219,E. Saad,32.75,FC St. Pauli
220,P. Seguin,32.74,FC Schalke 04
221,D. Elfadli,32.74,1. FC Magdeburg
222,Keke Topp,32.73,FC Schalke 04
223,Y. Engelhardt,32.73,Fortuna Düsseldorf
224,E. Leopold,32.73,Hannover 96
225,J. Meffert,32.71,Hamburger SV
226,E. Amenyido,32.71,FC St. Pauli
227,P. Klemens,32.69,Hertha BSC
228,M. Komenda,32.69,Holstein Kiel
229,Robert Glatzel,32.68,Hamburger SV
230,D. Ginczek,32.68,Fortuna Düsseldorf
231,S. Ernst,32.67,Hannover 96
232,Scott Banks,32.65,FC St. Pauli
233,Mo El Hankouri,32.65,1. FC Magdeburg
234,H. Vandermersch,32.65,SV Elversberg
235,T. Baumgartl,32.63,FC Schalke 04
236,S. Kozuki,32.63,FC Schalke 04
237,T. Müller,32.61,1. FC Magdeburg
238,J. Ceka,32.61,1. FC Magdeburg
239,S. Gnaka,32.58,1. FC Magdeburg
240,D. Srbeny,32.58,SpVgg Greuther Fürth
241,A. Zehnter,32.57,SC Paderborn 07
242,J. Niehues,32.55,1. FC Kaiserslautern
243,Lars Gindorf,32.55,Hannover 96
244,S. Şahin,32.53,SV Elversberg
245,F. Platte,32.53,SC Paderborn 07
246,N. Remberg,32.52,Holstein Kiel
247,K. Çalhanoğlu,32.52,SpVgg Greuther Fürth
248,R. Leipertz,32.52,SC Paderborn 07
249,Xavier Amaechi,32.51,1. FC Magdeburg
250,Jonas David,32.50,F.C. Hansa Rostock
251,Kolja Oudenne,32.50,Hannover 96
252,D. Martinović,32.50,SV Elversberg
253,A. Touré,32.48,1. FC Kaiserslautern
254,D. Churlinov,32.48,FC Schalke 04
255,F. Niederlechner,32.47,Hertha BSC
256,Bryan Teixeira,32.47,1. FC Magdeburg
257,M. Beifus,32.45,Karlsruher SC
258,Assan Ouédraogo,32.45,FC Schalke 04
259,F. Kleinhansl,32.45,VfL Osnabrück
260,R. Krauße,32.45,Eintracht Braunschweig
261,Thore Jacobsen,32.44,SV Elversberg
262,C. Sickinger,32.43,SV Elversberg
263,B. Simakala,32.42,1. FC Kaiserslautern
264,Youssef Amyn,32.42,Eintracht Braunschweig
265,Ł. Poręba,32.40,Hamburger SV
266,S. Prevljak,32.39,Hertha BSC
267,T. Ito,32.38,1. FC Magdeburg
268,Hauke Wahl,32.37,FC St. Pauli
269,J. Brandt,32.37,SC Paderborn 07
270,Stephan Ambrosius,32.36,Hamburger SV
271,Florian Carstens,32.36,SV Wehen Wiesbaden
272,D. Roßbach,32.35,F.C. Hansa Rostock
273,N. Neidhart,32.31,F.C. Hansa Rostock
274,R. Schallenberg,32.29,FC Schalke 04
275,M. Flotho,32.28,SC Paderborn 07
276,Cédric Brunner,32.26,FC Schalke 04
277,M. Franke,32.24,Karlsruher SC
278,Aymen Barkok,32.24,Hertha BSC
279,F. Bähr,32.23,VfL Osnabrück
280,Mickaël Cuisance,32.22,VfL Osnabrück
281,M. Saliakas,32.21,FC St. Pauli
282,E. Durm,32.20,1. FC Kaiserslautern
283,N. Rieble,32.20,SV Wehen Wiesbaden
284,Joey Müller,32.19,FC Schalke 04
285,J. Mees,32.19,Holstein Kiel
286,M. Heyer,32.18,Hamburger SV
287,V. Vermeij,32.18,Fortuna Düsseldorf
288,P. Heise,32.17,Karlsruher SC
289,Jeremy Dudziak,32.17,Hertha BSC
290,N. Gavory,32.15,Fortuna Düsseldorf
291,N. Tauer,32.12,FC Schalke 04
292,K. Caliskaner,32.11,Eintracht Braunschweig
293,M. Schuster,32.09,SC Paderborn 07
294,J. van der Werff,32.08,F.C. Hansa Rostock
295,N. Agrafiotis,32.07,SV Wehen Wiesbaden
296,N. Katterbach,32.06,Hamburger SV
297,Matthias Zimmermann,32.06,Fortuna Düsseldorf
298,R. Wagner,32.06,SpVgg Greuther Fürth
299,K. Conrad,32.06,SV Elversberg
300,Steven van der Sloot,32.05,FC Schalke 04
301,J. Wulff,32.05,VfL Osnabrück
302,F. Flick,32.04,1. FC Nürnberg
303,B. Hussein,32.04,Hertha BSC
304,B. Idrizi,32.03,FC Schalke 04
305,E. Taffertshofer,32.01,SV Wehen Wiesbaden
306,D. Kinsombi,32.00,SC Paderborn 07
307,M. Wanitzek,31.98,Karlsruher SC
308,M. Dárdai,31.95,Hertha BSC
309,Jomaine Consbruch,31.95,SpVgg Greuther Fürth
310,Jordy de Wijs,31.94,Fortuna Düsseldorf
311,J. Quarshie,31.94,Fortuna Düsseldorf
312,Daniel Hanslik,31.93,1. FC Kaiserslautern
313,P. Wanner,31.92,SV Elversberg
314,S. Terodde,31.91,FC Schalke 04
315,B. Behrendt,31.91,Eintracht Braunschweig
316,Linus Gechter,31.89,Hertha BSC
317,S. Schonlau,31.86,Hamburger SV
318,A. Vukotić,31.86,SV Wehen Wiesbaden
319,M. Møller Dæhli,31.84,1. FC Nürnberg
320,Wahid Faghir,31.83,SV Elversberg
321,Marlon Ritter,31.82,1. FC Kaiserslautern
322,D. Wiebe,31.82,Eintracht Braunschweig
323,E. Öztürk,31.81,Karlsruher SC
324,Konstantinos Stafylidis,31.81,F.C. Hansa Rostock
325,D. Sinani,31.80,FC St. Pauli
326,D. Nemeth,31.80,FC St. Pauli
327,K. Endo,31.80,Eintracht Braunschweig
328,Julian Green,31.80,SpVgg Greuther Fürth
329,Colin Kleine-Bekel,31.79,Holstein Kiel
330,D. Latza,31.77,FC Schalke 04
331,J. Eggestein,31.76,FC St. Pauli
332,Lewis Holtby,31.76,Holstein Kiel
333,Joseph Hungbo,31.75,1. FC Nürnberg
334,M. Kamiński,31.75,FC Schalke 04
335,Sidi Sané,31.75,Eintracht Braunschweig
336,O. Kiomourtzoglou,31.74,SpVgg Greuther Fürth
337,C. Daferner,31.70,1. FC Nürnberg
338,M. Rohr,31.70,SC Paderborn 07
339,L. Schaub,31.69,Hannover 96
340,Bjarke Jacobsen,31.69,SV Wehen Wiesbaden
341,A. Rossipal,31.67,F.C. Hansa Rostock
342,Jonas Urbig,31.66,SpVgg Greuther Fürth
343,D. Michalski,31.66,SpVgg Greuther Fürth
344,L. Ritzka,31.63,FC St. Pauli
345,E. Bičakčić,31.63,Eintracht Braunschweig
346,J. Lawrence,31.62,1. FC Magdeburg
347,Sebastian Klaas,31.62,SC Paderborn 07
348,M. Thalhammer,31.59,VfL Osnabrück
349,J. Nikolaou,31.58,Eintracht Braunschweig
350,L. Ben Farhat,31.51,Karlsruher SC
351,O. Hüsing,31.50,F.C. Hansa Rostock
352,Timon Weiner,31.48,Holstein Kiel
353,Iván Márquez,31.46,1. FC Nürnberg
354,T. Uchino,31.45,Fortuna Düsseldorf
355,T. Raschl,31.44,1. FC Kaiserslautern
356,M. Richter,31.39,Hertha BSC
357,B. Zolinski,31.38,1. FC Kaiserslautern
358,I. Cissé,31.38,FC Schalke 04
359,M. Sobottka,31.37,Fortuna Düsseldorf
360,Jackson Irvine,31.36,FC St. Pauli
361,Anderson Lucoqui,31.36,Hertha BSC
362,L. Rosenboom,31.36,Holstein Kiel
363,L. Bénes,31.34,Hamburger SV
364,Leander Popp,31.34,SpVgg Greuther Fürth
365,Hólmbert Friðjónsson,31.31,Holstein Kiel
366,M. Feil,31.28,SV Elversberg
367,F. Ronstadt,31.24,1. FC Kaiserslautern
368,Afeez Aremu,31.23,1. FC Kaiserslautern
369,Saulo Decarli,31.23,Eintracht Braunschweig
370,D. Pfaffenrot,31.23,SpVgg Greuther Fürth
371,R. Tesche,31.22,VfL Osnabrück
372,K. Bennetts,31.22,SV Wehen Wiesbaden
373,C. Uzun,31.17,1. FC Nürnberg
374,Toni Leistner,31.17,Hertha BSC
375,R. Heußer,31.16,SV Wehen Wiesbaden
376,A. Ujah,31.14,Eintracht Braunschweig
377,F. Kastenmeier,31.11,Fortuna Düsseldorf
378,P. Erras,31.05,Holstein Kiel
379,Tim Oberdorf,31.01,Fortuna Düsseldorf
380,N. Antonitsch,31.01,SV Elversberg
381,K. Kraus,31.00,1. FC Kaiserslautern
382,A. Hoffmann,30.98,Fortuna Düsseldorf
383,E. Valentini,30.93,1. FC Nürnberg
384,N. Kijewski,30.93,Eintracht Braunschweig
385,M. Meyerhöfer,30.91,SpVgg Greuther Fürth
386,Mikkel Kirkeskov,30.88,Holstein Kiel
387,Andreas Albers,30.85,FC St. Pauli
388,A. Ersungur,30.83,Karlsruher SC
389,Carl Johansson,30.82,Holstein Kiel
390,H. Zuck,30.81,1. FC Kaiserslautern
391,J. Huth,30.78,SC Paderborn 07
392,J. Kade,30.76,SV Wehen Wiesbaden
393,L. Jensen,30.74,Karlsruher SC
394,N. Gießelmann,30.72,SpVgg Greuther Fürth
395,M. Müller,30.66,FC Schalke 04
396,J. Verhoek,30.59,VfL Osnabrück
397,M. Okugawa,30.56,Hamburger SV
398,J. Gondorf,30.53,Karlsruher SC
399,A. Loune,30.53,1. FC Nürnberg
400,Brandon Soppy,30.53,FC Schalke 04
401,T. Beermann,30.52,VfL Osnabrück
402,Kevin Koffi,30.52,SV Elversberg
403,N. Niehoff,30.50,Holstein Kiel
404,A. Kemlein,30.49,FC St. Pauli
405,Ahmet Arslan,30.49,1. FC Magdeburg
406,M. Hansen,30.49,SC Paderborn 07
407,M. Thiede,30.48,Karlsruher SC
408,J. Medić,30.48,FC St. Pauli
409,Montell Ndikom,30.48,Hannover 96
410,S. Rhein,30.47,F.C. Hansa Rostock
411,Lars Stindl,30.45,Karlsruher SC
412,Antonio Foti,30.44,Hannover 96
413,Lennart Grill,30.44,VfL Osnabrück
414,T. Dähne,30.37,Holstein Kiel
415,Niclas Nadj,30.36,SC Paderborn 07
416,N. El-Jindaoui,30.33,Hertha BSC
417,Anssi Suhonen,30.31,Hamburger SV
418,T. Goiginger,30.31,VfL Osnabrück
419,P. Müller,30.31,SpVgg Greuther Fürth
420,M. Correia,30.28,SV Elversberg
421,J. Börner,30.27,Hannover 96
422,Carlo Boukhalfa,30.26,FC St. Pauli
423,Shinta Appelkamp,30.24,Fortuna Düsseldorf
424,T. Hoffmann,30.23,Hertha BSC
425,T. Duman,30.18,1. FC Nürnberg
426,S. Singh,30.18,F.C. Hansa Rostock
427,K. Manu,30.17,Fortuna Düsseldorf
428,Muhammed Damar,30.14,Hannover 96
429,Niklas Castelle,30.13,FC Schalke 04
430,J. Geis,30.11,1. FC Nürnberg
431,James Lawrence,30.11,1. FC Nürnberg
432,Aurel Wagbe,30.11,Holstein Kiel
433,L. Dürholtz,30.10,SV Elversberg
434,S. Gudjohnsen,30.09,F.C. Hansa Rostock
435,P. Pekarík,30.06,Hertha BSC
436,C. Krempicki,29.95,1. FC Magdeburg
437,B. Dardai,29.84,Hertha BSC
438,M. Ens,29.73,SC Paderborn 07
439,C. Mathenia,29.70,1. FC Nürnberg
440,R. Hoffmann,29.60,Eintracht Braunschweig
441,P. Boevink,29.59,SC Paderborn 07
442,Eric da Silva Moreira,29.57,FC St. Pauli
443,M. Pledl,29.49,SC Paderborn 07
444,N. Vasilj,29.45,FC St. Pauli
445,Maurides,29.44,FC St. Pauli
446,N. Rapp,29.40,Karlsruher SC
447,E. Kuhinja,29.39,1. FC Magdeburg
448,K. Suso,29.31,Fortuna Düsseldorf
449,E. Dzogovic,29.27,1. FC Magdeburg
450,M. Kolke,29.25,F.C. Hansa Rostock
451,L. Kehl,29.21,VfL Osnabrück
452,Max Kruse,29.19,SC Paderborn 07
453,O. Megeed,29.10,Hamburger SV
454,F. Hübner,29.10,1. FC Nürnberg
455,Paterson Chato,29.10,VfL Osnabrück
456,P. Drewes,29.09,Karlsruher SC
457,T. Ernst,29.06,Hertha BSC
458,J. Krahl,28.96,1. FC Kaiserslautern
459,N. Kristof,28.91,SV Elversberg
460,S. Zoller,28.86,FC St. Pauli
461,L. Hinterseer,28.74,F.C. Hansa Rostock
462,Yannik Lührs,28.69,Hannover 96
463,J. Kania,28.59,1. FC Nürnberg
464,D. Reimann,28.59,1. FC Magdeburg
465,P. Klement,28.55,1. FC Kaiserslautern
466,D. Heuer Fernandes,28.40,Hamburger SV
467,H. Finndell,28.14,Eintracht Braunschweig
468,P. Kühn,27.87,VfL Osnabrück
469,M. Besuschkow,27.63,Hannover 96
470,Elijah Krahn,27.40,Hamburger SV
471,Max Reinthaler,27.37,SV Wehen Wiesbaden
472,R. Zieler,27.17,Hannover 96
473,F. Stritzel,26.73,SV Wehen Wiesbaden
474,O. Christensen,26.31,Hertha BSC
475,M. Gersbeck,26.22,Hertha BSC
476,C. Klaus,26.09,1. FC Nürnberg
477,M. Raab,25.92,Hamburger SV
478,R. Himmelmann,25.83,1. FC Kaiserslautern
479,S. Marino,25.47,Karlsruher SC
480,Ralf Fährmann,25.33,FC Schalke 04
481,J. Heekeren,25.12,FC Schalke 04
482,T. Casali,23.90,Eintracht Braunschweig
483,A. Luthe,23.48,1. FC Kaiserslautern
484,D. Bunk,23.46,Fortuna Düsseldorf
485,M. Langer,23.35,FC Schalke 04
486,Nils Körber,21.18,F.C. Hansa Rostock
487,Tjark Scheller,18.80,FC St. Pauli
488,R. Kwasigroch,18.46,Hertha BSC
489,Andreas Linde,17.61,SpVgg Greuther Fürth
